sample_id,dataset,case,method,status,warnings,num_hand_vertices,num_object_points_used,object_representation,min_hand_object_dist_m,p5_hand_object_dist_m,mean_hand_object_dist_m,object_center_to_hand_center_m,min_hand_object_dist_mm,p5_hand_object_dist_mm,mean_hand_object_dist_mm,object_center_to_hand_center_mm,contact_threshold_mm,floating_threshold_mm,contact_vertex_count,contact_vertex_ratio,floating,penetration_supported,penetration_vertex_count,max_penetration_depth_mm,contact_status_label,object_inside_hand_ratio,object_inside_hand_max_depth_mm,hand_inside_object_ratio,hand_inside_object_max_depth_mm,num_components,largest_component_face_ratio,bbox_diag_mm,is_watertight,severe_floating,severe_penetration,severe_fragmentation,oversized_object,low_integrity,hard_fail_count,soft_score,score,floating_p5_threshold_mm,final_decision
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.0004246381156098,0.0020273389448189,0.0117124618182676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267675,48.4629479605678,5.0,10.0,178,0.2287917737789203,False,False,,,near_contact,0.0325111025294458,17.498181231534883,0.2493573264781491,11.639754273306494,56,0.9781594025622868,535.5315266305976,True,False,True,False,False,False,1,0.7611119461230089,-999.238888053877,25,reject_both_or_rerun
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,,778,30000,sample_surface,0.0293273413093551,0.0398822001909148,0.0675646385588421,0.0828944702639794,29.327341309355145,39.88220019091485,67.5646385588421,82.89447026397946,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,48,0.9272447013487476,257.1521631582922,True,True,False,False,False,False,1,-26.037306163939895,-1026.03730616394,25,reject_both_or_rerun
arctic_alapuse01_default,arctic,alapuse01,default,OK,,778,30000,sample_surface,0.0003823894749536,0.0030789296693334,0.0253629231912861,0.0515901566830832,0.3823894749536265,3.078929669333472,25.362923191286114,51.59015668308327,5.0,10.0,95,0.1221079691516709,False,False,,,near_contact,0.0024278145088638,5.615192328605807,0.0861182519280205,5.861887040876332,47,0.9864267195363732,404.0828677522077,True,False,False,False,False,False,0,8.50776206391862,8.50776206391862,25,select
arctic_amicuse01_default,arctic,amicuse01,default,OK,,778,30000,sample_surface,0.0006269304648602,0.0021418166738483,0.0236984971267135,0.1156748393093882,0.626930464860283,2.141816673848362,23.69849712671352,115.67483930938828,5.0,10.0,189,0.2429305912596401,False,False,,,near_contact,0.0408025522341269,20.42940814916024,0.2596401028277635,21.29706975957968,161,0.9553008807163652,571.675816965616,False,False,True,False,False,False,1,-5.053505261996673,-1005.0535052619966,25,reject_both_or_rerun
arctic_ascis01_default,arctic,ascis01,default,OK,,778,30000,sample_surface,0.1131263318833534,0.123589282554064,0.1554114825465168,0.2458289102640176,113.12633188335349,123.589282554064,155.41148254651682,245.82891026401768,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,64,0.9102329018309204,408.381376645958,False,True,False,False,False,False,1,-111.6846245174456,-1111.6846245174456,25,reject_both_or_rerun
oakink_split000_default,oakink,oakink_split000,default,OK,,778,30000,sample_surface,0.0138000198511592,0.020041855472596,0.0569216151585276,0.1492170255186699,13.800019851159275,20.041855472596005,56.9216151585276,149.21702551866994,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,2,0.994521103896104,257.17901082030664,True,False,False,False,False,False,0,-0.2514333946739242,-0.2514333946739242,25,select
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.0004246381156098,0.0020273389448189,0.0117124618182676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267675,48.4629479605678,5.0,10.0,178,0.2287917737789203,False,False,,,near_contact,0.0325111025294458,17.498181231534883,0.2493573264781491,11.639754273306494,56,0.9781594025622868,535.5315266305976,True,False,True,False,False,False,1,0.7611119461230089,-999.238888053877,30,reject_both_or_rerun
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,,778,30000,sample_surface,0.0293273413093551,0.0398822001909148,0.0675646385588421,0.0828944702639794,29.327341309355145,39.88220019091485,67.5646385588421,82.89447026397946,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,48,0.9272447013487476,257.1521631582922,True,True,False,False,False,False,1,-26.037306163939895,-1026.03730616394,30,reject_both_or_rerun
arctic_alapuse01_default,arctic,alapuse01,default,OK,,778,30000,sample_surface,0.0003823894749536,0.0030789296693334,0.0253629231912861,0.0515901566830832,0.3823894749536265,3.078929669333472,25.362923191286114,51.59015668308327,5.0,10.0,95,0.1221079691516709,False,False,,,near_contact,0.0024278145088638,5.615192328605807,0.0861182519280205,5.861887040876332,47,0.9864267195363732,404.0828677522077,True,False,False,False,False,False,0,8.50776206391862,8.50776206391862,30,select
arctic_amicuse01_default,arctic,amicuse01,default,OK,,778,30000,sample_surface,0.0006269304648602,0.0021418166738483,0.0236984971267135,0.1156748393093882,0.626930464860283,2.141816673848362,23.69849712671352,115.67483930938828,5.0,10.0,189,0.2429305912596401,False,False,,,near_contact,0.0408025522341269,20.42940814916024,0.2596401028277635,21.29706975957968,161,0.9553008807163652,571.675816965616,False,False,True,False,False,False,1,-5.053505261996673,-1005.0535052619966,30,reject_both_or_rerun
arctic_ascis01_default,arctic,ascis01,default,OK,,778,30000,sample_surface,0.1131263318833534,0.123589282554064,0.1554114825465168,0.2458289102640176,113.12633188335349,123.589282554064,155.41148254651682,245.82891026401768,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,64,0.9102329018309204,408.381376645958,False,True,False,False,False,False,1,-111.6846245174456,-1111.6846245174456,30,reject_both_or_rerun
oakink_split000_default,oakink,oakink_split000,default,OK,,778,30000,sample_surface,0.0138000198511592,0.020041855472596,0.0569216151585276,0.1492170255186699,13.800019851159275,20.041855472596005,56.9216151585276,149.21702551866994,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,2,0.994521103896104,257.17901082030664,True,False,False,False,False,False,0,-0.2514333946739242,-0.2514333946739242,30,select
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.0004246381156098,0.0020273389448189,0.0117124618182676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267675,48.4629479605678,5.0,10.0,178,0.2287917737789203,False,False,,,near_contact,0.0325111025294458,17.498181231534883,0.2493573264781491,11.639754273306494,56,0.9781594025622868,535.5315266305976,True,False,True,False,False,False,1,0.7611119461230089,-999.238888053877,40,reject_both_or_rerun
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,,778,30000,sample_surface,0.0293273413093551,0.0398822001909148,0.0675646385588421,0.0828944702639794,29.327341309355145,39.88220019091485,67.5646385588421,82.89447026397946,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,48,0.9272447013487476,257.1521631582922,True,False,False,False,False,False,0,-26.037306163939895,-26.037306163939895,40,select
arctic_alapuse01_default,arctic,alapuse01,default,OK,,778,30000,sample_surface,0.0003823894749536,0.0030789296693334,0.0253629231912861,0.0515901566830832,0.3823894749536265,3.078929669333472,25.362923191286114,51.59015668308327,5.0,10.0,95,0.1221079691516709,False,False,,,near_contact,0.0024278145088638,5.615192328605807,0.0861182519280205,5.861887040876332,47,0.9864267195363732,404.0828677522077,True,False,False,False,False,False,0,8.50776206391862,8.50776206391862,40,select
arctic_amicuse01_default,arctic,amicuse01,default,OK,,778,30000,sample_surface,0.0006269304648602,0.0021418166738483,0.0236984971267135,0.1156748393093882,0.626930464860283,2.141816673848362,23.69849712671352,115.67483930938828,5.0,10.0,189,0.2429305912596401,False,False,,,near_contact,0.0408025522341269,20.42940814916024,0.2596401028277635,21.29706975957968,161,0.9553008807163652,571.675816965616,False,False,True,False,False,False,1,-5.053505261996673,-1005.0535052619966,40,reject_both_or_rerun
arctic_ascis01_default,arctic,ascis01,default,OK,,778,30000,sample_surface,0.1131263318833534,0.123589282554064,0.1554114825465168,0.2458289102640176,113.12633188335349,123.589282554064,155.41148254651682,245.82891026401768,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,64,0.9102329018309204,408.381376645958,False,True,False,False,False,False,1,-111.6846245174456,-1111.6846245174456,40,reject_both_or_rerun
oakink_split000_default,oakink,oakink_split000,default,OK,,778,30000,sample_surface,0.0138000198511592,0.020041855472596,0.0569216151585276,0.1492170255186699,13.800019851159275,20.041855472596005,56.9216151585276,149.21702551866994,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,2,0.994521103896104,257.17901082030664,True,False,False,False,False,False,0,-0.2514333946739242,-0.2514333946739242,40,select
